City,Colors Reported,Shape Reported,State,Time
Albany,,,OR,1996-04-27 22:30:00
Fort Walton Beach,,,Fl,1996-04-28 00:10:00
Mile 69,,,WY,1996-04-28 01:00:00
Kalispell,GREEN,,MT,1996-04-28 01:30:00
Idaho Falls,BLUE,,ID,1996-04-28 01:40:00
Idaho Falls,BLUE,,ID,1996-04-28 01:45:00
Holopaw,,VARIOUS,FL,1996-04-28 12:00:00
Sacramento,,OTHER,CA,1996-04-29 21:30:00
Spokane,,,WA,1996-04-30 22:05:00
Rochester,,TRIANGLE,NY,1996-01-05 01:00:00
Burns,,TRIANGLE,OR,1996-01-05 01:30:00
,,TRIANGLE,OH,1996-01-05 03:00:00
Butler,,DISK,PA,1996-01-05 12:15:00
Corvalis,BLUE,TRIANGLE,OR,1996-01-05 19:00:00
Why,,LIGHT,AZ,1996-01-05 21:00:00
Cody,,OTHER,WY,1996-01-05 22:00:00
Lumpkin,,DISK,GA,1996-01-05 23:00:00
Morris,,,MI,1996-04-05 05:30:00
Graford,,LIGHT,TX,1996-04-05 21:45:00
Fagle,,,ID,1996-04-05 23:15:00
Cortero,,,AZ,1996-05-05 15:10:00
New York City,,FIREBALL,NY,1996-05-05 20:00:00
San Bruno,RED GREEN,,CA,1996-05-05 20:25:00
San Francisco,,,CA,1996-05-05 21:45:00
New York City,,LIGHT,NY,1996-06-05 20:00:00
New York City,,LIGHT,NY,1996-06-05 20:00:00
Tampa,,,FL,1996-06-05 22:00:00
Fresno,,,CA,1996-07-05 20:00:00
Snelling,,,CA,1996-07-05 21:15:00
Tempe,,,AZ,1996-07-05 21:40:00
Coos Bay,,,OR,1996-07-05 21:45:00
Gardena,,,CA,1996-08-05 01:10:00
Cocoa Beach,,,FL,1996-08-05 15:00:00
Cle Elum,,,WA,1996-08-05 22:00:00
Phoenix,,,AZ,1996-09-05 14:15:00
Mansfield,,,TX,1996-09-05 20:20:00
Macon,,,GA,1996-09-05 21:23:00
Everett,,,WA,1996-10-05 21:30:00
Norwood,,FORMATION,PA,1996-11-05 17:00:00
Idaho Falls,,LIGHT,ID,1996-12-05 02:00:00
Sewanee,,SPHERE,TN,1996-12-05 14:00:00
Van Alstyne,,DISK,TX,1996-12-05 21:00:00
Kelseyville,,,CA,1996-12-05 23:00:00
Santa Cruz,,,CA,1996-12-05 23:00:00
Black Hills,,,SD,1996-05-13 20:15:00
Rochester,ORANGE YELLOW,,NY,1996-05-13 22:45:00
Scottsdale,,,AZ,1996-05-14 21:00:00
Tulsa,GREEN,SPHERE,OK,1996-05-15 03:00:00
Atolicita Hills,,,CA,1996-05-15 04:50:00
Jacksonville,,,FL,1996-05-15 06:15:00
Frankfort,RED,TRIANGLE,IL,1996-05-15 21:00:00
Bellflower,RED,,CA,1996-05-15 22:05:00
Willard,,CIGAR,MO,1996-05-15 22:30:00
Covington,,OTHER,KY,1996-05-16 21:17:00
Miami,ORANGE,,Fl,1996-05-17 01:30:00
Carneys Point,,CYLINDER,NJ,1996-05-18 12:35:00
Hampton,,,VA,1996-05-18 22:30:00
Seattle,YELLOW,,WA,1996-05-18 23:20:00
Salisbury,,,MD,1996-05-19 00:00:00
Santa Barbara,,,CA,1996-05-19 02:30:00
Visalia,,,CA,1996-05-19 21:45:00
Passaic,,DISK,NJ,1996-05-20 16:00:00
High Point,,FIREBALL,NC,1996-05-20 23:00:00
Burgettstown,,TRIANGLE,PA,1996-05-21 01:00:00
Charleston,RED,,IL,1996-05-21 23:58:00
Hilliard,RED,,OH,1996-05-22 00:00:00
Venice,,,Fl,1996-05-22 20:30:00
Huntington,,,WV,1996-05-22 22:30:00
Rockford,,,WA,1996-05-23 22:30:00
Mint Hill,,TRIANGLE,NC,1996-05-24 20:45:00
Youngstown,,,OH,1996-05-24 22:30:00
Bowie,,,MD,1996-05-24 23:05:00
Chico,,TRIANGLE,CA,1996-05-25 23:00:00
Fort Myers,,,Fl,1996-05-26 01:55:00
Sullivan,,,MO,1996-05-26 18:36:00
Neodesha,,,KS,1996-05-26 21:20:00
Riverside,,,CA,1996-05-26 22:10:00
Amargosa Valley,,LIGHT,NV,1996-05-27 20:30:00
Baltimore,,,MD,1996-05-28 03:00:00
Mindon,,CYLINDER,UT,1996-05-28 23:10:00
Antioch,,,CA,1996-05-29 03:55:00
Menoken,,SPHERE,ND,1996-05-29 23:10:00
Chinquipin,,LIGHT,TX,1996-05-31 03:00:00
Guerneville,,DIAMOND,CA,1996-01-06 00:00:00
Hinckley,,,OH,1996-01-06 00:00:00
Longmont,,OTHER,CO,1996-01-06 00:00:00
Gibsonton,,LIGHT,FL,1996-01-06 02:00:00
Ft Mead,,TRIANGLE,ME,1996-01-06 02:30:00
Collingswood,ORANGE,CIRCLE,NJ,1996-01-06 02:50:00
Waunakee,,CYLINDER,WI,1996-01-06 03:15:00
Beltsville,,TRIANGLE,MD,1996-01-06 05:30:00
Seattle,,OTHER,WA,1996-01-06 07:00:00
Linden,,DISK,MI,1996-01-06 08:00:00
Long Island,,CIRCLE,NY,1996-01-06 13:00:00
Lakebay,,TRIANGLE,WA,1996-01-06 14:00:00
Chapmansboro,,CIGAR,TN,1996-01-06 17:00:00
San Marcos,,OVAL,TX,1996-01-06 17:00:00
El Paso,,DISK,TX,1996-01-06 20:00:00
Eugene,,TRIANGLE,OR,1996-01-06 20:00:00
Klamath Falls to Medford,,LIGHT,OR,1996-01-06 20:00:00
Richlands,,LIGHT,NC,1996-01-06 20:30:00
New Orleans,,VARIOUS,LA,1996-01-06 21:00:00
New Orleans,,VARIOUS,LA,1996-01-06 21:00:00
South Kingstown,,DISK,RI,1996-01-06 21:00:00
Johnstown,,OVAL,PA,1996-01-06 22:00:00
Summerlin,,FIREBALL,NV,1996-01-06 22:00:00
Midwest City,,TRIANGLE,OK,1996-01-06 22:30:00
Concord,RED,LIGHT,CA,1996-01-06 22:45:00
North Providence,,SPHERE,RI,1996-01-06 23:00:00
Oglethorpe,,,GA,1996-03-06 18:30:00
Gaithersburg,,,MD,1996-03-06 20:00:00
Scottsdale,,,AZ,1996-04-06 21:00:00
Show Low,,OTHER,AZ,1996-04-06 22:00:00
Jackson,,,OH,1996-05-06 22:00:00
Lancaster,,,SC,1996-05-06 23:30:00
Palmdale,,,CA,1996-07-06 02:20:00
Ely,,TRIANGLE,NV,1996-07-06 22:00:00
Beloit,,OTHER,WI,1996-08-06 16:30:00
Granite Falls,,,WA,1996-08-06 21:30:00
Banning,,LIGHT,CA,1996-09-06 05:00:00
Eddington,BLUE,TRIANGLE,ME,1996-10-06 01:00:00
Blythe,,SPHERE,CA,1996-10-06 22:00:00
Phippsburg,,DISK,ME,1996-11-06 01:00:00
Seattle,,OTHER,WA,1996-11-06 15:00:00
Norman,,SPHERE,OK,1996-11-06 17:30:00
Annapolis,,,MD,1996-12-06 03:00:00
,,OVAL,CA,1996-12-06 12:00:00
Lansdale,BLUE,TRIANGLE,PA,1996-12-06 12:00:00
Seattle,,LIGHT,WA,1996-12-06 12:15:00
Seattle,,,WA,1996-12-06 21:00:00
Ohio,,TRIANGLE,OH,1996-12-06 21:30:00
Temple,,DIAMOND,TX,1996-06-13 22:45:00
Chesapeake Bay,,DISK,MD,1996-06-14 15:30:00
Chapel Hill,RED,CIRCLE,NC,1996-06-15 00:00:00
Linesville,,LIGHT,PA,1996-06-15 00:00:00
Show Low,,OVAL,AZ,1996-06-15 01:30:00
Edmonds,,FORMATION,WA,1996-06-15 02:30:00
Gillette,,CIRCLE,WY,1996-06-15 02:30:00
Boise,,,ID,1996-06-15 03:05:00
Buhl,,RECTANGLE,MN,1996-06-15 07:30:00
Carlsbad,,DISK,NM,1996-06-15 12:00:00
Van Nuys,,OTHER,CA,1996-06-15 13:00:00
Aberdeen,,DISK,MD,1996-06-15 13:30:00
Ridgefield,,OVAL,WA,1996-06-15 14:00:00
Portland,,CHEVRON,OR,1996-06-15 15:00:00
Butler,,CIRCLE,PA,1996-06-15 19:00:00
Dundee,,CROSS,NY,1996-06-15 19:00:00
Clinton,BLUE,CIRCLE,IL,1996-06-15 21:00:00
Newport Beach,,DISK,CA,1996-06-15 21:00:00
Woodbridge,,LIGHT,NJ,1996-06-15 21:00:00
Millbury,,LIGHT,MA,1996-06-15 21:30:00
Coeur d'Alene,,FORMATION,ID,1996-06-15 22:00:00
Fayetteville,GREEN,OTHER,NC,1996-06-15 22:00:00
Jeckyll Island,,CIRCLE,GA,1996-06-15 22:00:00
Lodi,,TRIANGLE,CA,1996-06-15 22:00:00
Valley Springs,,TRIANGLE,CA,1996-06-15 23:00:00
Eau Claire,ORANGE,RECTANGLE,WI,1996-06-15 23:02:00
Moses Lake,,,WA,1996-06-16 01:30:00
Dyer,,DIAMOND,IN,1996-06-17 14:45:00
San Diego,,LIGHT,CA,1996-06-17 16:00:00
San Diego,,CIRCLE,CA,1996-06-18 08:26:00
Alabama,,FIREBALL,AL,1996-06-18 17:30:00
Seattle,BLUE,,WA,1996-06-19 01:00:00
Bremerton,,,WA,1996-06-19 01:05:00
Bremerton,GREEN,,WA,1996-06-19 01:05:00
Fort Collins,,TRIANGLE,CO,1996-06-19 03:00:00
Fort Collins,,TRIANGLE,CO,1996-06-19 03:00:00
Tampa,,DISK,FL,1996-06-19 10:00:00
Oakley,RED,,CA,1996-06-20 00:00:00
Snohomish,,,WA,1996-06-20 00:00:00
Renton,,,WA,1996-06-20 02:00:00
Kanab,,FIREBALL,UT,1996-06-20 20:00:00
Fort Myers,,LIGHT,FL,1996-06-20 22:00:00
Palm Springs,RED,,CA,1996-06-21 03:20:00
Winchester,,CONE,VA,1996-06-21 22:30:00
Buckhannon,,TRIANGLE,WV,1996-06-22 22:30:00
Garland,,,TX,1996-06-22 23:15:00
Payson,,LIGHT,AZ,1996-06-23 01:30:00
Cascade Mtns.,BLUE,,WA,1996-06-23 11:00:00
Santa Paula,,,CA,1996-06-23 19:30:00
Aurora,RED BLUE,VARIOUS,CO,1996-06-24 00:30:00
Philadelphia,,LIGHT,PA,1996-06-24 07:00:00
Smryna,,OVAL,GA,1996-06-24 15:00:00
Redmond,,,WA,1996-06-24 22:30:00
Washington,,DIAMOND,MO,1996-06-25 01:00:00
Clinton,,,CT,1996-06-27 03:37:00
Baltimore,,,MD,1996-06-28 03:00:00
Tempe,,VARIOUS,AZ,1996-06-28 19:00:00
Walled Lake,,LIGHT,MI,1996-06-28 22:00:00
East Providence,,LIGHT,RI,1996-06-29 21:00:00
East Providence,,LIGHT,RI,1996-06-29 22:00:00
Nacagdoches,,LIGHT,TX,1996-06-29 23:47:00
Salt Lake City,,CIRCLE,UT,1996-06-30 00:00:00
Voorhees,GREEN,DISK,NJ,1996-06-30 00:00:00
Lake Havasu City,,OTHER,AZ,1996-06-30 01:10:00
Sacramento,,LIGHT,CA,1996-06-30 03:00:00
Blackwood,,DISK,NJ,1996-06-30 07:00:00
Weare,,LIGHT,NH,1996-06-30 21:00:00
Chicago,,,IL,1996-06-30 22:00:00
Hedgesville,,DISK,WV,1996-06-30 22:30:00
Panama City Beach,,LIGHT,FL,1996-01-07 00:00:00
Lake George,,LIGHT,NY,1996-01-07 03:00:00
Yakima,,,WA,1996-01-07 12:00:00
Los Angeles,,FORMATION,CA,1996-01-07 13:00:00
Cypress,,OVAL,CA,1996-01-07 18:00:00
Albany,,EGG,OR,1996-01-07 19:00:00
Bovina,ORANGE GREEN,,TX,1996-01-07 19:00:00
Katy,,DIAMOND,TX,1996-01-07 20:00:00
Lumpkin,,DISK,GA,1996-01-07 22:00:00
Brunswick,,LIGHT,ME,1996-01-07 23:00:00
Monroe,,TRIANGLE,WA,1996-01-07 23:00:00
Mt. Morris Township,,DISK,MI,1996-02-07 18:00:00
Stoughton,,LIGHT,WI,1996-03-07 02:00:00
Union City,GREEN,OTHER,PA,1996-03-07 05:00:00
Hoh Rain Forest,,DISK,WA,1996-03-07 10:00:00
University Place,,FIREBALL,WA,1996-03-07 10:00:00
Beach,,DISK,ND,1996-03-07 11:30:00
Salmon River,,LIGHT,ID,1996-03-07 23:00:00
South Amboy,RED BLUE,TRIANGLE,NJ,1996-04-07 12:00:00
Fayetteville,,VARIOUS,AR,1996-04-07 19:35:00
Goshen,,LIGHT,NY,1996-04-07 21:30:00
Wilmington,RED,TRIANGLE,NC,1996-04-07 22:00:00
San Angelo,RED,LIGHT,TX,1996-04-07 23:30:00
Traverse City,,OTHER,MI,1996-04-07 23:30:00
Oak Hill,,FIREBALL,WV,1996-05-07 00:00:00
Springfield,RED,CIRCLE,MA,1996-05-07 18:15:00
Camden,ORANGE,OVAL,NJ,1996-05-07 22:00:00
Newport,,,PA,1996-05-07 22:00:00
Brinnon,,OVAL,WA,1996-06-07 23:00:00
St. Louis,,TRIANGLE,MO,1996-09-07 23:30:00
IndIan Nation Turnpike,,FIREBALL,OK,1996-10-07 01:30:00
Cumming,,RECTANGLE,GA,1996-10-07 02:30:00
Kenosha,,OTHER,WI,1996-11-07 00:40:00
Pensacola Beach,,SPHERE,FL,1996-07-14 14:00:00
Bountiful,,TRIANGLE,UT,1996-07-15 00:35:00
Jacksonville,BLUE,LIGHT,IL,1996-07-15 01:30:00
Kalamazoo,,OTHER,MI,1996-07-15 05:30:00
Ellensburg,,RECTANGLE,WA,1996-07-15 13:30:00
Conway,GREEN,OTHER,MO,1996-07-15 14:00:00
Sussex,,TRIANGLE,NJ,1996-07-15 17:15:00
Alamogordo,YELLOW,VARIOUS,NM,1996-07-15 19:30:00
Sussex City,,OTHER,NJ,1996-07-15 20:30:00
Amarillo,,OTHER,TX,1996-07-15 21:00:00
Camden,ORANGE,CIRCLE,NJ,1996-07-15 22:00:00
Sioux City,,TRIANGLE,IA,1996-07-15 22:00:00
Tucson,,OTHER,AZ,1996-07-15 23:00:00
Eau Claire,ORANGE,,WI,1996-07-15 23:02:00
Gothenburg,,CIRCLE,NE,1996-07-15 23:30:00
I-5,,DIAMOND,CA,1996-07-17 01:35:00
Saline,,OTHER,MI,1996-07-17 20:45:00
Winchester,,CONE,VA,1996-07-18 09:58:00
Northampton,ORANGE,DISK,PA,1996-07-19 10:45:00
Clear Lake,,TEARDROP,TX,1996-07-20 22:00:00
Miami Beach,GREEN,TRIANGLE,FL,1996-07-23 21:32:00
Danville,,DISK,VA,1996-07-23 22:30:00
Seattle,,RECTANGLE,WA,1996-07-24 16:00:00
Metalline Falls,,FIREBALL,WA,1996-07-24 23:10:00
Rush City,,,MN,1996-07-25 01:30:00
Winona,,FLASH,MN,1996-07-30 01:30:00
Gilroy,,LIGHT,CA,1996-07-30 11:00:00
Crestview,,TRIANGLE,FL,1996-07-30 14:00:00
North Little Rock,,TRIANGLE,AR,1996-07-30 22:00:00
East Setauket,,OTHER,NY,1996-07-31 21:00:00
Beaverton,,DISK,OR,1996-01-08 00:00:00
Independence,,TRIANGLE,MO,1996-01-08 02:00:00
Raton,,LIGHT,NM,1996-01-08 02:00:00
Sandy,BLUE,LIGHT,UT,1996-01-08 12:00:00
San Jose,,FIREBALL,CA,1996-01-08 16:00:00
Pueblo,,TRIANGLE,CO,1996-01-08 17:00:00
Granite City,,SPHERE,IL,1996-01-08 17:45:00
Durant,,TRIANGLE,OK,1996-01-08 19:00:00
Hastings,,FLASH,MN,1996-01-08 20:00:00
Canandaigua,RED,TRIANGLE,NY,1996-01-08 20:30:00
Ellsworth,,CHEVRON,ME,1996-01-08 21:00:00
Waterbury,,RECTANGLE,CT,1996-01-08 21:00:00
Bishop,,TRIANGLE,CA,1996-01-08 21:30:00
Newberg,,OTHER,OR,1996-01-08 22:00:00
Woodlawn,,DISK,MD,1996-01-08 22:15:00
Atwater,,LIGHT,CA,1996-01-08 23:30:00
Fishers,,CIRCLE,IN,1996-02-08 11:33:00
Fishers,,CIRCLE,IN,1996-02-08 11:33:00
Knoxville,,OVAL,IL,1996-04-08 07:00:00
Pottstown,,TRIANGLE,PA,1996-04-08 19:30:00
West Manchester,,,OH,1996-07-08 23:00:00
West Manchester,RED,OVAL,OH,1996-07-08 23:00:00
Tularosa,,SPHERE,NM,1996-08-08 20:30:00
Ventnor,,CIRCLE,NJ,1996-09-08 19:00:00
Wharton,,SPHERE,OH,1996-10-08 21:00:00
George,,FORMATION,WA,1996-10-08 22:00:00
Seattle,,TRIANGLE,WA,1996-10-08 22:45:00
No. Hollywood,,SPHERE,CA,1996-10-08 23:00:00
Kerman,,LIGHT,CA,1996-10-08 23:30:00
Seattle,YELLOW,,WA,1996-12-08 00:30:00
Cheektowaga,,DISK,NY,1996-12-08 13:00:00
Bayview Jetty,,DISK,OR,1996-12-08 19:00:00
Eureka,,LIGHT,CA,1996-12-08 22:00:00
Texas,,SPHERE,TX,1996-08-13 16:45:00
Burlington,,LIGHT,CT,1996-08-15 01:00:00
Lubbock,RED BLUE,CIRCLE,TX,1996-08-15 01:00:00
New Braunfels,,DISK,TX,1996-08-15 01:00:00
Grand Rapids,,LIGHT,MI,1996-08-15 02:30:00
Grand Rapids,RED,LIGHT,MI,1996-08-15 02:30:00
Beeville,,LIGHT,TX,1996-08-15 03:00:00
Gold Beach,,OTHER,OR,1996-08-15 12:00:00
Greenwich,,RECTANGLE,CT,1996-08-15 14:00:00
Bethel,,TRIANGLE,AK,1996-08-15 14:30:00
Clymer,,OTHER,PA,1996-08-15 17:00:00
Richwood,,FORMATION,WV,1996-08-15 19:00:00
Beckley,,OTHER,WV,1996-08-15 20:30:00
Centerport,,CROSS,NY,1996-08-15 21:30:00
Lexington,,LIGHT,VA,1996-08-15 22:00:00
Penrose,,OTHER,CO,1996-08-15 22:00:00
Wellfleet,GREEN,TRIANGLE,MA,1996-08-15 22:00:00
Plattsburg,RED,TRIANGLE,NY,1996-08-15 23:30:00
Tecumseh,,,OK,1996-08-16 00:00:00
Fairfield,,TRIANGLE,OH,1996-08-16 14:30:00
Santa Barbara,,TRIANGLE,CA,1996-08-16 20:15:00
Coon Rapids,,OTHER,MN,1996-08-18 03:18:00
Ft. Wayne,,SPHERE,IN,1996-08-18 23:00:00
Brewster,,DISK,MA,1996-08-19 05:20:00
Spencer,,,SD,1996-08-19 22:30:00
West Manchester,ORANGE,DISK,OH,1996-08-20 02:15:00
Phoenix,,LIGHT,AZ,1996-08-20 20:30:00
Owensville,,,MO,1996-08-20 23:30:00
Osborne,,,KS,1996-08-24 01:30:00
,,EGG,FL,1996-08-24 15:00:00
Fort Collins,,LIGHT,CO,1996-08-24 21:00:00
Bothell,,TRIANGLE,WA,1996-08-28 20:15:00
Blacksburg,,SPHERE,VA,1996-08-30 19:00:00
Coral Springs,,LIGHT,FL,1996-01-09 01:00:00
Tuscaloosa,,DISK,AL,1996-01-09 17:00:00
Concord,,DISK,MA,1996-01-09 18:00:00
Ohio-Michigan border,,LIGHT,OH,1996-01-09 18:00:00
New Holland,,,IL,1996-01-09 20:00:00
Wattsburgh,,OTHER,PA,1996-01-09 21:00:00
Fort Collins,,DISK,CO,1996-01-09 21:30:00
Fort Collins,,DISK,CO,1996-01-09 21:30:00
Wabeno,,FIREBALL,WI,1996-01-09 22:30:00
Wise,,OVAL,VA,1996-01-09 22:30:00
Wanaque,,FORMATION,NJ,1996-02-09 19:50:00
Belton,,TRIANGLE,MO,1996-04-09 21:30:00
Faith,,TRIANGLE,NC,1996-05-09 01:00:00
Snake River,,SPHERE,ID,1996-05-09 23:00:00
Lake Shasta,,LIGHT,CA,1996-06-09 20:00:00
Englewood Cliffs,,CHEVRON,NJ,1996-06-09 21:00:00
Stockton,,OTHER,CA,1996-07-09 03:00:00
West Manchester,ORANGE,TRIANGLE,OH,1996-07-09 10:50:00
Savannah,,DISK,GA,1996-09-09 05:30:00
San Francisco,,OVAL,CA,1996-09-09 08:30:00
Siloam Springs,,TRIANGLE,AR,1996-10-09 23:45:00
Arden Hills,,LIGHT,MN,1996-11-09 22:45:00
Victorville,,DISK,CA,1996-12-09 11:00:00
Kennewick,,OTHER,WA,1996-12-09 15:35:00
York,,FLASH,PA,1996-09-13 02:30:00
Austin,,TRIANGLE,TX,1996-09-13 20:30:00
Des Moines,BLUE,DISK,IA,1996-09-14 18:00:00
Battle Mountain,,DISK,NV,1996-09-14 20:00:00
Smithville,,DISK,NJ,1996-09-14 20:30:00
Salem,GREEN,TEARDROP,OR,1996-09-15 04:00:00
La Mesa,RED,LIGHT,CA,1996-09-15 05:00:00
Ironton,,SPHERE,OH,1996-09-15 10:30:00
Solomans Island,,LIGHT,MD,1996-09-15 18:00:00
Creston,,,WA,1996-09-15 20:45:00
Forks,,,WA,1996-09-15 21:00:00
Woodville,,TRIANGLE,AL,1996-09-15 21:00:00
Madrid,RED,OTHER,NY,1996-09-15 22:00:00
Trion,,TRIANGLE,GA,1996-09-15 22:30:00
Georgtown,,DISK,CO,1996-09-16 06:15:00
Arlington,,OVAL,MA,1996-09-16 18:00:00
Concord,,OVAL,MA,1996-09-16 18:00:00
Lee's Summit,RED,TRIANGLE,MO,1996-09-17 05:00:00
Williamstown,,FORMATION,MA,1996-09-17 22:00:00
Ann Arbor,,FIREBALL,MI,1996-09-18 00:20:00
Avon Lake,,VARIOUS,OH,1996-09-19 21:30:00
Coweta,,DISK,OK,1996-09-20 17:00:00
Maxwell,,OTHER,CA,1996-09-21 21:30:00
Denver,,LIGHT,CO,1996-09-22 01:00:00
Pensacola,,CIGAR,FL,1996-09-22 21:00:00
Smithport,,,PA,1996-09-24 13:00:00
Cowen,,DISK,WV,1996-09-26 02:39:00
Breckenridge,RED,VARIOUS,TX,1996-09-26 20:00:00
Kelso,,,WA,1996-09-29 22:13:00
Traverse City,,RECTANGLE,MI,1996-09-30 22:00:00
Lake Berryessa,BLUE,SPHERE,CA,1996-01-10 01:00:00
West Houston,,FORMATION,TX,1996-01-10 01:00:00
Bainbridge,,TRIANGLE,OH,1996-01-10 05:30:00
New York City,,OVAL,NY,1996-01-10 08:00:00
Cupertino,,SPHERE,CA,1996-01-10 17:00:00
Safford,,SPHERE,AZ,1996-01-10 18:00:00
The Woodlands,ORANGE,FIREBALL,TX,1996-01-10 22:30:00
Santa Fe,,RECTANGLE,NM,1996-03-10 20:00:00
Crestone,,LIGHT,CO,1996-03-10 20:05:00
Derby,,LIGHT,CT,1996-03-10 21:00:00
Kansas City,BLUE,,KS,1996-06-10 03:40:00
Duvall,,TRIANGLE,WA,1996-06-10 13:00:00
San Francisco,,TRIANGLE,CA,1996-06-10 13:00:00
New York City,,TRIANGLE,NY,1996-06-10 15:00:00
Fire Island,,OTHER,NY,1996-06-10 22:00:00
Deming,,OTHER,NM,1996-09-10 15:30:00
Higginsville,,TRIANGLE,MO,1996-10-10 03:20:00
Charleston,,LIGHT,SC,1996-10-10 22:00:00
Monroe County,,CYLINDER,OH,1996-10-10 22:30:00
Bismarck,,FORMATION,ND,1996-11-10 16:00:00
Damascus,,LIGHT,VA,1996-11-10 22:00:00
Reno,,TRIANGLE,NV,1996-10-13 03:19:00
Gainesville,,CIRCLE,FL,1996-10-13 06:00:00
Astoria,,CIRCLE,OR,1996-10-13 15:00:00
Odessa,ORANGE,DIAMOND,TX,1996-10-13 19:47:00
Encino,,TRIANGLE,CA,1996-10-13 20:00:00
Gainesville,,CIRCLE,FL,1996-10-14 03:00:00
San Mateo,,LIGHT,CA,1996-10-15 00:45:00
Austin,,TRIANGLE,TX,1996-10-15 03:00:00
Cazadero,,,CA,1996-10-15 03:00:00
Milwaukee,RED,TRIANGLE,WI,1996-10-15 15:00:00
Delano,,OTHER,TN,1996-10-15 18:00:00
Blaine,RED,SPHERE,OR,1996-10-15 20:30:00
Roanoke,,,VA,1996-10-15 23:00:00
Roanoke,RED,TRIANGLE,VA,1996-10-15 23:00:00
Memphis,,,TN,1996-10-18 23:30:00
Tipton,,SPHERE,IN,1996-10-20 11:18:00
Wichita,RED,LIGHT,KS,1996-10-20 18:20:00
Odessa,,DIAMOND,TX,1996-10-20 20:20:00
Springfield,,TRIANGLE,OH,1996-10-24 09:18:00
Lake Charles,,VARIOUS,LA,1996-10-25 02:00:00
Laurel,,,MD,1996-10-25 11:08:00
Newport Beach,,VARIOUS,CA,1996-10-26 02:00:00
Marksville,,TRIANGLE,LA,1996-10-26 20:30:00
Manchester,,DIAMOND,NH,1996-10-28 14:00:00
Pittsburgh,BLUE,DISK,PA,1996-10-30 07:30:00
Goose Creek,,CIGAR,SC,1996-10-30 16:00:00
Rose Hill,RED,LIGHT,KS,1996-10-30 18:50:00
Richmond,,TRIANGLE,OH,1996-10-30 19:30:00
Kokomo,RED,,IN,1996-10-30 22:25:00
Boerne,,,TX,1996-10-31 02:15:00
Murfreesboro,,CIRCLE,TN,1996-10-31 09:00:00
Rockford,,FLASH,MI,1996-10-31 22:00:00
Wichita,,LIGHT,KS,1996-10-31 22:00:00
Vilonia,,CYLINDER,AR,1996-01-11 12:00:00
Merrimac,,TRIANGLE,MA,1996-01-11 19:00:00
Chillicothe,,OTHER,OH,1996-01-11 21:00:00
Federal Way,,CIRCLE,WA,1996-01-11 23:00:00
Reno to Dallas,BLUE,TRIANGLE,TX,1996-02-11 02:00:00
New Albany,,,PA,1996-02-11 05:00:00
Longmont,,,CO,1996-03-11 18:55:00
San Jose,,FORMATION,IL,1996-06-11 17:00:00
Seattle,,SPHERE,WA,1996-07-11 23:30:00
Canyonville,,DISK,OR,1996-09-11 02:00:00
Plymouth,,TRIANGLE,IN,1996-09-11 12:00:00
no data,,TRIANGLE,NV,1996-12-11 01:00:00
Donnelly,,TRIANGLE,ID,1996-12-11 22:30:00
Hesperia,,TRIANGLE,CA,1996-11-13 19:45:00
Seminole,,TRIANGLE,FL,1996-11-13 23:30:00
Harrisburg,,LIGHT,PA,1996-11-13 23:56:00
Corvallis,,SPHERE,MT,1996-11-14 14:15:00
Salem,RED,,OR,1996-11-14 18:20:00
Hobe Sound,,FIREBALL,FL,1996-11-14 19:00:00
Harker Heights,,LIGHT,TX,1996-11-15 10:21:00
Lincoln,,DIAMOND,NE,1996-11-15 17:00:00
Blossburg,,,PA,1996-11-15 20:30:00
Lima,,LIGHT,OH,1996-11-15 20:50:00
Albuquerque,,SPHERE,NM,1996-11-15 22:30:00
Gorman VOR,,,CA,1996-11-16 00:00:00
Las Vegas,,LIGHT,NV,1996-11-16 16:30:00
Canton,,LIGHT,PA,1996-11-16 21:30:00
Silver Spring,,TRIANGLE,MD,1996-11-16 21:30:00
Bandy,,,NY,1996-11-16 22:00:00
Riverside,,,NJ,1996-11-16 22:00:00
Lake City,,,WA,1996-11-16 22:15:00
Frostburg,,,MD,1996-11-16 23:10:00
Jacksonville,BLUE,,FL,1996-11-16 23:10:00
New York City,,,NY,1996-11-16 23:10:00
Odessa,,,NY,1996-11-16 23:10:00
Reading,BLUE,,PA,1996-11-16 23:13:00
Greenwich,YELLOW,,CT,1996-11-16 23:14:00
Frostburg,YELLOW GREEN,,MD,1996-11-16 23:15:00
Greenwich,,,CT,1996-11-16 23:15:00
Watkins Glen,GREEN,,NY,1996-11-16 23:20:00
Mansfield,ORANGE,ROUND,PA,1996-11-16 23:23:00
Grandview,,,MO,1996-11-17 00:00:00
Arcadia,,,CA,1996-11-17 02:30:00
Big Flats,,,NY,1996-11-17 04:30:00
Las Vegas,,LIGHT,NV,1996-11-17 21:00:00
Middleville,,,MI,1996-11-19 23:05:00
Los Angeles,,,CA,1996-11-20 00:00:00
Wilmington,,DIAMOND,NC,1996-11-20 00:00:00
Surfside,,DIAMOND,TX,1996-11-20 08:00:00
Parma,,CIRCLE,OH,1996-11-20 21:30:00
North Port,,,FL,1996-11-20 22:30:00
Stamping Ground,,TRIANGLE,KY,1996-11-23 02:15:00
French Camp,,,CA,1996-11-23 19:30:00
Stockton,,,CA,1996-11-23 20:45:00
Kingsville,,,OH,1996-11-23 21:40:00
Poway,,,CA,1996-11-24 04:50:00
